Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Nestle zero added sugar hot cocoa mix  : 2T 8g 25c 0.3p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve SR  : 1T 14g 0c 0p
xanthan gum  : 1T 9g 30c 0p
Signature Farms dried berries  : 4T 40g 130c 0p
Nestle hot cocoa & marshmallow flavored morsels  : 1T 14g 70c 0p
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
Sumo 3632  : 100g 47c 0.9p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
3T : 3T 45g 25c 4T 5p
Open Nature almond milk  : 1C 256g 30c 1p
Signature Select pink salmon  : 0.3C 85g 100c 16p
51-60ct shrimp  : 10 85g 50c 9p
peas  : 8T 85g 70c 4p
frozen corn  : 8T 85g 90c 3p
Tillamook spicy Mexican cheese  : 4T 28g 110c 6p
iced pumpkin cookie  : 38g 130c 1.3p 
pecan buttercrunch  : 50g 120c 2p 
El Mexicano nacho cheese sauce  : 4T 62g 80c 1p
Sambal Oelek chili paste  : 1T 20g 20c 0p
Signature Select sweet & spicy mustard  : 1t 5g 10c 0p
popcorn cheese  : 2T 15g 70c 3p
cinnamon  : 1T 8g 19c 0.5p
Swerve BSR  : 1T 16g 0c 0p
Silk unsweet vanilla almond milk  : 1C 256g 30c 1p
Ibarra hot chocolate  : 0.25bk 22g 100c 1p
Hershey's zero sugar chocolate syrup  : 1T 15g 5c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Swiss Miss no sugar added hot cocoa mix  : 3T 18g 70c 2p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve BSR  : 1T 16g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
blueberries  : 100g 58c 0.7p 
Sumo 3632  : 100g 47c 0.9p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Snoop Cereal Frosted Drizzlerz  : 1C 60g 210c 5p
Elf on the Shelf  : 1C 27g 93c 1.3p
Special K Chocolatey Delight  : 1C 42g 160c 3p
KitKat  : 1C 39g 170c 3p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
Dannon Light+Fit Greek toasted coconut vanilla yogurt  : 1C 150g 80c 12p
Hershey's dark cocoa  : 1T 5g 10c 1.2p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Swerve SR  : 1T 14g 0c 0p
Too Good Gourmet cranberry white choc dunk cookies  : 1 28g 120c 1p
Breyers cherry vanilla ice cream  : 1C 129g 225c 3p
Ibarra hot chocolate  : 0.25bk 22g 100c 1p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve BSR  : 1T 16g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
blueberries  : 100g 58c 0.7p 
Sumo 3632  : 100g 47c 0.9p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Jasmine rice  : 4T 45g 160c 3p
white fungus  : 100g 162c 4.9p 
water catfish  : 100g 105c 19.2p 
surimi krab legs  : 100g 105c 14.5p 
peas  : 8T 85g 70c 4p
yellow onion  : 100g 30c 0.7p 
Safeway bakery caramel brownie cheesecake  : 100g 450c 6.6p 
G Hughes sugar free Carolina style sweet heat BBQ  : 1T 14g 5c 0p
G Hughes sugar free ketchup  : 1T 16g 5C 0p
Sambal Oelek chili paste  : 1T 20g 20c 0p
Kong Yen rice vinegar  : 1T 15g 2c 0p
Sig Sel SW style sweet & spicy mustard  : 1t 5g 10c 0p
cayenne  : 1T 5.3g 17c 0.4p
Swerve SR  : 1T 14g 0c 0p
minced garlic  : 1T 20g 20c 0.2p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve SR  : 1T 14g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Signature Farms dried blueberries  : 4T 40g 150c 0p
Nestle hot cocoa & marshmallow flavored morsels  : 1T 14g 70c 0p
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
blueberries  : 100g 58c 0.7p 
black mission figs 4266  : 100g 74c 0.7p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Refreshe fruit punch Cap'n Crunch  : 1C 38g 150c 2p
Rudolph the Red-Nosed Reindeer hot cocoa cereal  : 1C 37g 140c 2p
1C : 1C 39g 150c 2g Cocoa Pebbles 1C
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
Dannon Light+Fit Greek toasted coconut vanilla yogurt  : 1C 150g 80c 12p
Hershey's dark cocoa  : 1T 5g 10c 1.2p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Swerve SR  : 1T 14g 0c 0p
Too Good Gourmet cranberry white choc dunk cookies  : 1 28g 120c 1p
Breyers cherry vanilla ice cream  : 1C 129g 225c 3p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve SR  : 1T 14g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Signature Farms dried berries  : 4T 40g 140c 0p
Nestle hot cocoa & marshmallow flavored morsels  : 1T 14g 70c 0p
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
blueberries  : 100g 58c 0.7p 
black mission figs 4266  : 100g 74c 0.7p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Refreshe lemon lime Jasmine rice  : 4T 45g 160c 3p
white fungus  : 100g 162c 4.9p 
water r+f catfish  : 100g 105c 19.2p 
surimi krab legs  : 100g 80c 8p 
peas  : 8T 85g 70c 4p
yellow onion  : 100g 30c 0.7p 
Safeway bakery caramel brownie cheesecake  : 100g 450c 6.6p 
Lee spicy crab paste  : 1T 15g 25c p
G Hughes sugar free ketchup  : 1T 16g 5c 0p
Kong Yen rice vinegar  : 1T 15g 2c 0p
Sig Sel SW style sweet & spicy mustard  : 1t 5g 10c 0p
cayenne  : 1T 5.3g 17c 0.4p
Swerve SR  : 1T 14g 0c 0p
minced garlic  : 1T 20g 20c 0.2p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
cacao nibs  : 22.2T 100g 565c 12p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Nestle zero added sugar hot cocoa mix  : 2T 8g 25c 0.3p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve SR  : 1T 14g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
black mission figs 4266  : 100g 74c 0.7p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Snoop Cereal Frosted Drizzlerz  : 1C 60g 210c 5p
Cap'n Crunch  : 1C 38g 150c 2p
1C : 1C 39g 150c 2g Cocoa Pebbles 1C
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
Dannon Light+Fit Greek toasted coconut vanilla yogurt  : 1C 150g 80c 12p
Hershey's dark cocoa  : 1T 5g 10c 1.2p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Swerve SR  : 1T 14g 0c 0p
Too Good Gourmet cranberry white choc dunk cookies  : 1 28g 120c 1p
Breyers cherry vanilla ice cream  : 1C 129g 225c 3p
chocolate iced french cruller  : 100g 280c 3.0p 
chocolate old-fashioned  : 100g 220c 2.5p 
choc-frosted, choc cake donut  : w choc sprinkles 100g 320c 3.5p
blueberries  : 100g 58c 0.7p 
black mission figs 4266  : 100g 74c 0.7p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
3T : 3T 45g 25c 3.8p 4T
Open Nature almond milk  : 1C 256g 30c 1p
Pacific Pearl smoked oysters  : 1cn 85g 150c 18p
51g : 51g 152g peas 8T 85g 70c
frozen corn  : 8T 85g 90c 3p
Too Good Gourmet cranberry white choc dunk cookies  : 1 28g 120c 1p
Breyers cherry vanilla ice cream  : 1C 129g 225c 3p
CJ original Korean BBQ sauce  : 1T 19g 35c 0p
Lee Kum Kee Korean BBQ sauce  :  27g 45c 0.6p
G Hughes sugar free ketchup  : 1T 16g 5c 0p
Kimlan soy paste  : 1T 19g 10c 0.9p
Sambal Oelek chili paste  : 1T 20g 20c 0p
Kong Yen rice vinegar  : 1T 15g 2c 0p
Swerve SR  : 1T 14g 0c 0p
ground ginger  : 1t 1.8g 6c 0.2p
cayenne  : 1T 5.3g 17c 0.4p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve SR  : 1T 14g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Hershey's cinnamon flavored chips  : 1T 15g 80c 1p
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
blueberries  : 100g 58c 0.7p 
Sumo 3632  : 100g 47c 0.9p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Sunny Select peanut butter cocoa spheres  : 1C 40g 170c 3p
Cap'n Crunch  : 1C 38g 150c 2p
1C : 1C 39g 150c 2g Cocoa Pebbles 1C
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
Dannon Light+Fit Greek strawberry cheesecake yogurt  : 1C 150g 80c 12p
Hershey's dark cocoa  : 1T 5g 10c 1.2p
Walden Farms 0c chocolate dip  : 1T 16g 0c 0p
Swerve SR  : 1T 14g 0c 0p
Nature's Bakery brownies  : 1pk 2 45g 170c
Breyers chocolate ice cream  : 1C 132g 270c 3p
homade ganache  : 1T 16g 65c 0p
Walden Farms 0c blueberry syrup  : 1T 16g 0c 0p
Open Nature unsweet vanilla almond milk  : 1C 256g 30c 1p
imitation vanilla flavor  : 1t 4.2g 10c 0p
Minute tapioca  : 1.5t 6g 20c 0p
Hershey's sp dark cocoa  : 1T 5g 10c 0.2p
Swerve SR  : 1T 14g 0c 0p
xanthan gum  : 1T 9g 30c, 0p 
Signature Farms dried blueberries  : 4T 40g 150c 0p
Lucerne chocolate whipped topping  : 2T 5g 15c 0p
blueberries  : 100g 58c 0.7p 
Sumo 3632  : 100g 47c 0.9p 
cherries 4045  : 100g 77c 1.09p 
Prizm's dark chocolate coconut bon-bon  : 20g 80c 0p 
Jasmine rice  : 4T 45g 160c 3p
water catfish  : 100g 105c 19.2p 
21-25ct shrimp  : 100g 84c 18.4p 
peas  : 8T 85g 70c 4p
yellow onion  : 100g 30c 0.7p 
Staff of Life cherry cheese strudel  : 1 63g 231c 3.2p
Lee Kum Kee Korean BBQ sauce  :  27g 45c 0.6p
G Hughes sugar free ketchup  : 1T 16g 5c 0p
Kimlan soy paste  : 1T 19g 10c 0.9p
