apricot 4218  :  1u 100g 48c
aprium 3422  :  1 43g 20c
aprium 3422  :  1u 100g 48c
Atualfo mango 4961  :  1u 165g 107c
baking powder  :  1t 4.6g 1c 0p
Bar Harbor natural smoked wild kippers  :  1srv 56g 90c
basa swai  :  1u 113g 70c
bean sprouts  :  12T 85g 30c
Best Foods spicy mayo dressing  :  1T 15g 40c
black brown white sesame seeds  :  1T 9g 52c
black fungus  :  1u 72g 40c
black mission fig  :  1 100g 67c
black mission fig, dried  :  1 100g 249c
black plum 4040  :  1u 66g 30c
blueberries  :  1u 100g 58c
Brach's Conversation Hearts  :  1bx 28g 110c
Brer Rabbit molasses  :  1T 22g 60c
brown beech mushrooms  :  1u 100g 40c
brownie  :  1 100g 379c
brown turkey fig  :  1 40g 30c
cabbage  :  1 23g 6c
cacao nibs  :  1T 9g 57c
cacao paste wafers  :  12 28g 91c
cashews  :  4T 30g 170c 5p
catfish  :  1u 113g 70c
cayenne  :  1T 5.3g 17c
champagne mango 4961  :  1u 165g 107c
cherries 4045  :  1C 155g 77c
chicken breast skinless  :  1 100g 158c
chicken drumstick  :  1 71g 146c
chicken katsu  :  1 156g 282c
chicken leg  :  1 258g 475c
chicken thigh skinless  :  1 70g 135c
chicken wing  :  1 85g 216c
Chinese 5 spices powder  :  1t 2.3g 6.5c
chipotle powder  :  1t 3g 7c
chocolate buttermilk bar  :  1 109g 420c
chocolate cheesecake  :  1sl 128g 480c
Chocolate Chex  :  1C 43g 180c
chocolate French cruller  :  1 50g 280c
chocolate ganache cake  :  1sl 83 310
Chocolate Life  :  1C 42g 160c
Chocolate Lucky Charms  :  1C 36g 140c
chorrizo casera  :  1u 100g 321c
cinnamon  :  1T 8g 19c
cinnamon chip scone  :  1 106g 460c
Cocoa Pebbles  :  1C 36g 140c
coconut flour  :  2T 14g 60c
coriander  :  1t 1.8g 5.4c
corn  :  8T 85g 90c
crushed red pepper  :  1t 1.8g 5.7c
cumin powder  :  1T 5g 21c
daikon  :  1u 100g 18c
Dannon L+F lemon cream Greek yoghurt  :  1C 150g 80c
Dannon L+F toasted coconut vanilla Greek yoghurt  :  1C 150g 80c
dark chocolate cashew bon-bon  :  1 34g 190c
dark chocolate orange creme bon-bon  :  1 18g 80c
dinosaur egg plumcot 3278  :  1 132g 70c
DMD Bridge oat noodles  :  1u 100g 320c
Don Francisco queso cotija  :  1T 7g 28c
donut peach 3113  :  1 100g 44c
